text,label,sentiment,source,model
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",0,negative,original,—
IBM announces the launch of a new cloud-based data analytics service.,1,neutral,synthetic,mistral:7b
"This could be any of us at any time , '' she said .",1,neutral,original,—
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",1,neutral,original,—
Financial terms were not disclosed .,1,neutral,original,—
Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,2,positive,original,—
"IBM announces the launch of its new cloud-based data analytics service, Quantum Insights.",1,neutral,synthetic,mistral:7b
The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,2,positive,original,—
The company has exported into about twenty European countries as well as to Africa .,1,neutral,original,—
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,2,positive,original,—
It has80 branches in Finland with annual revenue in Finland of ?,1,neutral,original,—
"Apple Inc. announces the launch of its new iPhone SE model, featuring improved specifications and set to be available in stores starting April 24.",1,neutral,synthetic,mistral:7b
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .,2,positive,original,—
"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",1,neutral,original,—
com and possibly also through photo-msn .,1,neutral,original,—
"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",1,neutral,original,—
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,1,neutral,original,—
"The total investment necessary will be EUR40m , the company estimated .",1,neutral,original,—
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",2,positive,original,—
The value of the firm 's forestry holdings increased by SEK 3.6 bn .,2,positive,original,—
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,0,negative,original,—
Completion of the transaction is subject to a final agreement and a Due Diligence process .,1,neutral,original,—
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,1,neutral,original,—
"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",1,neutral,original,—
"Q3 earnings report shows a 15% profit increase for XYZ Inc., beating analysts' expectations.",2,positive,synthetic,mistral:7b
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,0,negative,original,—
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2,positive,original,—
"no compensation for its news , opinions or distributions .",1,neutral,original,—
"At the moment , there are approximately 20 Vianor sales offices in Russia .",1,neutral,original,—
"Originally posted to the PCMag.com security blog , Security Watch .",1,neutral,original,—
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,1,neutral,original,—
"Amazon announces the launch of its new sustainable packaging initiative, aiming to reduce waste and carbon footprint in shipping.",1,neutral,synthetic,mistral:7b
"Pharmaceutical giant Merck announces a 10% drop in Q3 profits, citing increased research and development costs.",0,negative,synthetic,mistral:7b
"Apple Inc. announces the launch of its new iPhone SE model, available for pre-order starting April 17.",1,neutral,synthetic,mistral:7b
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",1,neutral,original,—
The company closed last year with a turnover of about four million euros .,1,neutral,original,—
CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,1,neutral,original,—
"ABC Corp announces the appointment of Jane Smith as its new Chief Financial Officer, effective June 1.",1,neutral,synthetic,mistral:7b
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,2,positive,original,—
"Tech giant Q2 earnings surpass expectations by 10%, fueling a 6% stock rally and optimism among investors.",2,positive,synthetic,mistral:7b
"Q3 earnings report shows a 12% year-over-year revenue growth for TechCorp, surpassing analyst expectations.",2,positive,synthetic,mistral:7b
Metso 's delivery will include a complete coated board line with related air systems and two winders .,1,neutral,original,—
"XYZ Corporation announces the appointment of Jane Smith as its new Chief Financial Officer, effective immediately.",1,neutral,synthetic,mistral:7b
Talvivaara also maintains its assumption of turning cash flow positive before the year end .,2,positive,original,—
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,1,neutral,original,—
"Oka specialises in new construction , renovation work of residential and non-residential building as well as premises for industrial and logistical use .",1,neutral,original,—
"Stock prices surged following Q3 earnings report, revealing a 15% year-over-year revenue growth for tech giant XYZ Corp.",2,positive,synthetic,mistral:7b
"Tech giant XYZ issued a profit warning, citing unexpected headwinds in Q2 and lowering its full-year earnings forecast.",0,negative,synthetic,mistral:7b
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,2,positive,original,—
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",1,neutral,original,—
"Tech giant Amazon reported a 30% increase in Q1 profits, surpassing analyst expectations.",2,positive,synthetic,mistral:7b
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,1,neutral,original,—
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,1,neutral,original,—
"In the reporting period , the company 's operating profit grew by 43.2 % to EUR 6 million .",2,positive,original,—
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0,negative,original,—
"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",1,neutral,original,—
The handset maker did not disclose any financial details .,1,neutral,original,—
"Profit warning issued by tech giant as Q3 revenues disappoint, falling short of analyst expectations.",0,negative,synthetic,mistral:7b
"IBM announces the launch of its new cloud-based data analytics platform, set to enhance business intelligence and decision-making capabilities for clients.",1,neutral,synthetic,mistral:7b
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",1,neutral,original,—
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,1,neutral,original,—
"Tech giant Microsoft announces the launch of a new AI-powered productivity tool, designed to streamline workflows for businesses.",1,neutral,synthetic,mistral:7b
"Previously , the plant was expected to be completed by the end of 2008 .",1,neutral,original,—
"The interim report for the first quarter is published on May 8 , 2009 .",1,neutral,original,—
"Microsoft Corporation announces the launch of its new cloud-based productivity suite, aimed at enhancing digital transformation for businesses worldwide.",1,neutral,synthetic,mistral:7b
"Q3 earnings report shows a 15% revenue growth for TechCo, surpassing analysts' expectations.",2,positive,synthetic,mistral:7b
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,2,positive,original,—
The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million ( USD 106.3 m ) in cash for Pohjantahti .,1,neutral,original,—
"IBM announces the launch of its new cloud-based data analytics service, aimed at enhancing businesses' data management capabilities.",1,neutral,synthetic,mistral:7b
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .",2,positive,original,—
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",1,neutral,original,—
The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,2,positive,original,—
"Tesla announces a new partnership with Panasonic to expand solar panel manufacturing capacity in Buffalo, New York.",1,neutral,synthetic,mistral:7b
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,2,positive,original,—
The restructuring measures will not affect the production of packaging printing material .,1,neutral,original,—
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",0,negative,original,—
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",1,neutral,original,—
CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,1,neutral,original,—
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,1,neutral,original,—
M2 Communications disclaims all liability for information provided within information on on the world wide web .,1,neutral,original,—
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",0,negative,original,—
"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",2,positive,original,—
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,1,neutral,original,—
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",2,positive,original,—
Q4 earnings report reveals a 15% profit increase for tech giant Microsoft.,2,positive,synthetic,mistral:7b
"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",2,positive,original,—
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",1,neutral,original,—
"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",1,neutral,original,—
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",1,neutral,original,—
`` I am extremely delighted with this project and the continuation of cooperation with Viking Line .,2,positive,original,—
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,1,neutral,original,—
IBM announces the launch of a new cloud-based data analytics service for small businesses.,1,neutral,synthetic,mistral:7b
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",2,positive,original,—
Talvivaara has secured a 10-year off-take agreement for 100 per cent of its main output of nickel and cobalt to Norilsk Nickel and entered into a long-term zinc streaming agreement with Nyrstar NV .,2,positive,original,—
"Q3 earnings report reveals a 15% year-over-year revenue growth for TechCorp, outperforming analyst expectations.",2,positive,synthetic,mistral:7b
Tech giant Microsoft announces the launch of a new cloud-based collaboration platform for small businesses.,1,neutral,synthetic,mistral:7b
Tesla Inc. announces the launch of its new solar roof tile product line at a press event in California.,1,neutral,synthetic,mistral:7b
Q3 earnings report shows a 15% profit increase for technology giant XYZ Corporation.,2,positive,synthetic,mistral:7b
"Tech giant Q3 earnings report reveals a 15% increase in profits, exceeding analyst expectations.",2,positive,synthetic,mistral:7b
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0,negative,original,—
"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",1,neutral,original,—
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,0,negative,original,—
"Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .",2,positive,original,—
Tech giant Microsoft announces a new partnership with leading automotive company Ford to develop advanced in-car AI solutions.,1,neutral,synthetic,mistral:7b
"Tech giant Microsoft reports a 15% increase in Q4 profits, surpassing analyst expectations.",2,positive,synthetic,mistral:7b
"Apple Inc. announces the launch of its new iPhone 13 series in September, featuring improved camera and battery life.",1,neutral,synthetic,mistral:7b
"Headquartered in this city , the company is nearly 75 years old and focuses on science-based innovation and technology for environmental measurement .",1,neutral,original,—
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",1,neutral,original,—
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",2,positive,original,—
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,0,negative,original,—
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",1,neutral,original,—
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",0,negative,original,—
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",1,neutral,original,—
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",2,positive,original,—
"A few months ago , Teva vice chairman Phillip Frost and Marathon Venture Capital Fund TASE : MARA sold Protalix shares .",1,neutral,original,—
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",1,neutral,original,—
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,1,neutral,original,—
"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",1,neutral,original,—
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",1,neutral,original,—
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",2,positive,original,—
"Tech giant Amazon reported a 30% surge in Q2 profits, surpassing analysts' expectations.",2,positive,synthetic,mistral:7b
Amazon announces the launch of a new sustainability initiative focused on reducing carbon emissions across its supply chain.,1,neutral,synthetic,mistral:7b
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0,negative,original,—
"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",1,neutral,original,—
Construction is expected to be completed in the summer of 2011 .,1,neutral,original,—
"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",0,negative,original,—
Amazon announces a new solar-powered data center in Ireland as part of its ongoing commitment to renewable energy.,1,neutral,synthetic,mistral:7b
Q4 earnings report reveals a 15% year-over-year increase in profits for XYZ Corporation.,2,positive,synthetic,mistral:7b
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,0,negative,original,—
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",1,neutral,original,—
"The maximum obligated total trades per day is ISK 400,000,000 market value .",1,neutral,original,—
IBM posts a 12% year-over-year increase in Q3 earnings.,2,positive,synthetic,mistral:7b
`` The trend in the sports and leisure markets was favorable in the first months of the year .,2,positive,original,—
The new SEPA cads will replace Finnish bank cards .,1,neutral,original,—
Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,2,positive,original,—
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million .,2,positive,original,—
"In 2007 , the Group 's net sales stood at EUR 22 million and it had about 150 employees at the end of June , 2008 .",1,neutral,original,—
Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,2,positive,original,—
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,2,positive,original,—
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",1,neutral,original,—
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,neutral,original,—
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",1,neutral,original,—
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,1,neutral,original,—
"Amazon announces the launch of a new logistics center in Kansas City, set to boost delivery efficiency.",1,neutral,synthetic,mistral:7b
"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",1,neutral,original,—
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",1,neutral,original,—
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,1,neutral,original,—
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,2,positive,original,—
Intel announces a new partnership with Microsoft for cloud-based AI solutions development.,1,neutral,synthetic,mistral:7b
No financial details were provided .,1,neutral,original,—
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",0,negative,original,—
Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,2,positive,original,—
"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",1,neutral,original,—
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",1,neutral,original,—
IBM announces the launch of its new cloud-based AI analytics platform.,1,neutral,synthetic,mistral:7b
"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",1,neutral,original,—
"Goldman Sachs announces the appointment of Jane Thompson as Global Head of Renewable Energy Investment, effective immediately.",1,neutral,synthetic,mistral:7b
"Tech giant Amazon reported a 20% year-over-year increase in Q3 profits, surpassing analyst estimates.",2,positive,synthetic,mistral:7b
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,2,positive,original,—
"Nordstjernan will make the offer in approximately one month , in September 2007 .",1,neutral,original,—
Goldman Sachs announces the appointment of Jane Thompson as the new head of its commodities division in London.,1,neutral,synthetic,mistral:7b
Central Europe is an important market area for Honka .,1,neutral,original,—
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,1,neutral,original,—
"The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul .",1,neutral,original,—
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,2,positive,original,—
Goldman Sachs announces the appointment of a new head of global investment research.,1,neutral,synthetic,mistral:7b
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",1,neutral,original,—
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",2,positive,original,—
Q3 earnings report shows a 15% profit increase for XYZ Corporation.,2,positive,synthetic,mistral:7b
"At the end of last week , Protalix BioTherapeutics Inc ( AMEX : PLX ) published a prospectus for a first offering on AMEX of about 5 % of its share capital .",1,neutral,original,—
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",2,positive,original,—
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',0,negative,original,—
The company does not at present hold any of its own shares .,1,neutral,original,—
Stock prices plummeted after the company issued a profit warning due to unexpected supply chain disruptions.,0,negative,synthetic,mistral:7b
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",0,negative,original,—
Okmetic revised its 2010 financial outlook based on its order book .,1,neutral,original,—
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",1,neutral,original,—
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,1,neutral,original,—
The objective of the planned measures is to achieve significant savings in the next few years .,2,positive,original,—
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",2,positive,original,—
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",2,positive,original,—
"Tech giant Google announces the launch of its new cloud gaming service, Stadia, set to compete with Microsoft's Project xCloud.",1,neutral,synthetic,mistral:7b
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",1,neutral,original,—
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",1,neutral,original,—
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,1,neutral,original,—
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",1,neutral,original,—
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,1,neutral,original,—
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",2,positive,original,—
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",2,positive,original,—
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,1,neutral,original,—
"At some point , it will spread also to Iran and Iraq .",1,neutral,original,—
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,2,positive,original,—
Danske Bank is Denmark 's largest bank with 3.5 million customers .,1,neutral,original,—
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",2,positive,original,—
"Amazon announces a new renewable energy project in Texas, set to power several of its data centers.",1,neutral,synthetic,mistral:7b
"For 24-hour news , try ICIS news www.icis.com Click `` trial '' , then ICIS news",1,neutral,original,—
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",1,neutral,original,—
Microsoft announces the release of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",2,positive,original,—
The transaction will take place without payment of merger consideration .,1,neutral,original,—
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,1,neutral,original,—
"Tech giant Microsoft announces the launch of a new cloud-based productivity suite, targeting small and medium businesses.",1,neutral,synthetic,mistral:7b
"Tyrv+ñinen is of the opinion that the airline has been repeating this for some time already , however .",1,neutral,original,—
"Tech giant Apple announces the launch of a new IoT platform for smart home devices, set to be unveiled at WWDC 2023.",1,neutral,synthetic,mistral:7b
Deliveries have started and the network will be ready for a launch soon .,2,positive,original,—
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2,positive,original,—
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",0,negative,original,—
Scanfil issued a profit warning on 10 April 2006 .,0,negative,original,—
Intel announces the launch of its new 10nm processors for data center applications.,1,neutral,synthetic,mistral:7b
The value of the order is USD 2.2 mn .,1,neutral,original,—
"S Group 's loyal customer magazine Yhteishyv+ñ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers .",1,neutral,original,—
Goldman Sachs announces the appointment of Jane Lee as Head of Investment Banking for Asia Pacific.,1,neutral,synthetic,mistral:7b
"The buyer is real estate owner Propertos Oy , but the companies have agreed not to disclose financial details of the deal .",1,neutral,original,—
The transaction is expected to be finalized by Dec 2009 .,1,neutral,original,—
"Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported .",1,neutral,original,—
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",2,positive,original,—
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",0,negative,original,—
Nokia - the world 's largest mobile phone manufacturer - and China Postel - China 's largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .,2,positive,original,—
The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .,1,neutral,original,—
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",1,neutral,original,—
"Q3 earnings report shows a 15% profit increase for tech giant XYZ, exceeding analyst expectations.",2,positive,synthetic,mistral:7b
"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",2,positive,original,—
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",2,positive,original,—
"Apple Inc. announces a new product launch in the tech industry, set to unveil its latest smartwatch model at an upcoming event.",1,neutral,synthetic,mistral:7b
"Tech giant reports Q2 earnings exceeding analyst estimates by 15%, driven by strong consumer demand and strategic product launches.",2,positive,synthetic,mistral:7b
"`` The biggest challenge was to make the piece look raw , '' Hansen said .",1,neutral,original,—
The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,1,neutral,original,—
All depends on financing .,1,neutral,original,—
"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .",1,neutral,original,—
"Jarmo Honkamaa , head of the oil refining business at Neste Oil , says the situation looks promising from their viewpoint .",2,positive,original,—
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",2,positive,original,—
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2,positive,original,—
Microsoft announces the launch of its new cloud-based productivity suite for small businesses.,1,neutral,synthetic,mistral:7b
"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",1,neutral,original,—
"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",1,neutral,original,—
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",2,positive,original,—
"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",1,neutral,original,—
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",0,negative,original,—
